128 Forest; replaced with Forest
9319 Vile Manifestation; replaced with Vile Manifestation
17190 Bre of Clan Stoutarm; replaced with Bre of Clan Stoutarm
95727 Valkyrie's Call; replaced with Valkyrie's Call
68613 Tekuthal, Inquiry Dominus; replaced with Tekuthal, Inquiry Dominus
43382 Parcelbeast; replaced with Parcelbeast
82471 Nested Shambler; replaced with Nested Shambler
63758 Donatello's Technique; replaced with Donatello's Technique
51872 Arboreal Grazer; replaced with Arboreal Grazer
122 Keen Duelist; replaced with Keen Duelist
42276 Sworn Guardian; replaced with Sworn Guardian
7458 Dragonback Assault; replaced with Dragonback Assault
34049 Arcbound Stinger; replaced with Arcbound Stinger
14708 Brought Back; replaced with Brought Back
91495 Vance's Blasting Cannons // Spitfire Bastion; replaced with Vance's Blasting Cannons // Spitfire Bastion
41846 Garza Zol, Plague Queen; replaced with Garza Zol, Plague Queen
43842 Titan's Presence; replaced with Titan's Presence
67987 Falthis, Shadowcat Familiar; replaced with Falthis, Shadowcat Familiar
3941 Meathook Massacre II; replaced with Meathook Massacre II
71085 Clarion Conqueror // Clarion Conqueror; replaced with Clarion Conqueror // Clarion Conqueror
6210 Leatherhead, Swamp Stalker; replaced with Leatherhead, Swamp Stalker
1706 Umbris, Fear Manifest; replaced with Umbris, Fear Manifest
44852 Lambholt Raconteur // Lambholt Ravager; replaced with Lambholt Raconteur // Lambholt Ravager
14480 Huang Zhong, Shu General; replaced with Huang Zhong, Shu General
18891 Hell to Pay; replaced with Hell to Pay
75564 Inexorable Tide; replaced with Inexorable Tide
19306 Keeper of the Dead; replaced with Keeper of the Dead
90202 Krile Baldesion; replaced with Krile Baldesion
13060 Dokuchi Shadow-Walker; replaced with Dokuchi Shadow-Walker
50366 Arterial Alchemy; replaced with Arterial Alchemy
102755 Yuna's Decision; replaced with Yuna's Decision
17542 Pollywog Symbiote; replaced with Pollywog Symbiote
28564 Changeling Hero; replaced with Changeling Hero
92570 Eater of the Dead; replaced with Eater of the Dead
79889 Swift Spinner; replaced with Swift Spinner
5591 From Beyond; replaced with From Beyond
2268 Carrion Feeder; replaced with Carrion Feeder
38532 Sleep-Cursed Faerie; replaced with Sleep-Cursed Faerie
90521 Geode Golem; replaced with Geode Golem
11347 Caldera Lake; replaced with Caldera Lake
51233 Brimstone Dragon; replaced with Brimstone Dragon
22710 Cautery Sliver; replaced with Cautery Sliver
64709 Fire Lord Azula; replaced with Fire Lord Azula
26935 Fevered Suspicion; replaced with Fevered Suspicion
1988 Tempt with Mayhem; replaced with Tempt with Mayhem
5389 Dune-Brood Nephilim; replaced with Dune-Brood Nephilim
24043 Bloodgift Demon; replaced with Bloodgift Demon
4624 Phantom Blade; replaced with Phantom Blade
62471 Elephant Graveyard; replaced with Elephant Graveyard
19413 Oketra's Avenger; replaced with Oketra's Avenger
27197 Sunken Citadel; replaced with Sunken Citadel
53212 Ballista Watcher // Ballista Wielder; replaced with Ballista Watcher // Ballista Wielder
26597 Roon of the Hidden Realm; replaced with Roon of the Hidden Realm
100945 Shattered Sanctum; replaced with Shattered Sanctum
76098 Daretti, Scrap Savant; replaced with Daretti, Scrap Savant
36607 Deadlock Trap; replaced with Deadlock Trap
88826 Tormented Angel; replaced with Tormented Angel
47776 Reaper of Night // Harvest Fear; replaced with Reaper of Night // Harvest Fear
51936 Deathcoil Wurm; replaced with Deathcoil Wurm
36930 Grim Haruspex; replaced with Grim Haruspex
76496 Supply Caravan; replaced with Supply Caravan
104012 Manor Gate; replaced with Manor Gate
8526 Corpse Cobble; replaced with Corpse Cobble
37578 Nissa, Who Shakes the World; replaced with Nissa, Who Shakes the World
48647 Impervious Greatwurm; replaced with Impervious Greatwurm
102463 Novijen Sages; replaced with Novijen Sages
107256 Howlpack Wolf; replaced with Howlpack Wolf
75918 Moonlit Meditation; replaced with Moonlit Meditation
23905 Giant Killer // Chop Down; replaced with Giant Killer // Chop Down
51610 Monumental Henge; replaced with Monumental Henge
58642 Anikthea, Hand of Erebos; replaced with Anikthea, Hand of Erebos
77744 The Horus Heresy; replaced with The Horus Heresy
25385 Alela, Artful Provocateur; replaced with Alela, Artful Provocateur
19772 Sonic Burst; replaced with Sonic Burst
82938 Burnt Offering; replaced with Burnt Offering
66161 Wall Crawl; replaced with Wall Crawl
25042 Claim the Precious; replaced with Claim the Precious
77574 Uro, Titan of Nature's Wrath; replaced with Uro, Titan of Nature's Wrath
70636 Shoreline Looter; replaced with Shoreline Looter
104649 Spider-Woman, Stunning Savior; replaced with Spider-Woman, Stunning Savior
87202 Blink; replaced with Blink
63644 Soulcatcher; replaced with Soulcatcher
2852 Selkie Hedge-Mage; replaced with Selkie Hedge-Mage
2876 Soltari Foot Soldier; replaced with Soltari Foot Soldier
99883 Sword of Sinew and Steel; replaced with Sword of Sinew and Steel
69233 Alive // Well; replaced with Alive // Well
14756 Tinybones, Bauble Burglar; replaced with Tinybones, Bauble Burglar
3961 Gwaihir, Greatest of the Eagles; replaced with Gwaihir, Greatest of the Eagles
36309 Tinybones, Trinket Thief; replaced with Tinybones, Trinket Thief
90508 Dormant Volcano; replaced with Dormant Volcano
56519 Nature's Rhythm; replaced with Nature's Rhythm
3069 Vindictive Lich; replaced with Vindictive Lich
142 Michelangelo, Weirdness to 11; replaced with Michelangelo, Weirdness to 11
30752 Purging Stormbrood // Absorb Essence; replaced with Purging Stormbrood // Absorb Essence
4129 Gray Merchant of Asphodel; replaced with Gray Merchant of Asphodel
69745 Reef Worm; replaced with Reef Worm
22026 Fountain Watch; replaced with Fountain Watch
77594 Figure of Fable; replaced with Figure of Fable
1190 Dalek Squadron; replaced with Dalek Squadron
3306 Green Goblin, Revenant; replaced with Green Goblin, Revenant
37759 Tidus, Yuna's Guardian; replaced with Tidus, Yuna's Guardian
5866 Goblin Wardriver; replaced with Goblin Wardriver
93507 Whirling Catapult; replaced with Whirling Catapult
6766 Hoard Hauler; replaced with Hoard Hauler
90875 Rage Forger; replaced with Rage Forger
20013 Out of the Tombs; replaced with Out of the Tombs
100165 Octomancer; replaced with Octomancer
50267 Hazoret the Fervent; replaced with Hazoret the Fervent
41494 Panoptic Projektor; replaced with Panoptic Projektor
34965 Near-Death Experience; replaced with Near-Death Experience
81199 Demogorgon's Clutches; replaced with Demogorgon's Clutches
67139 Liliana Vess // Liliana Vess; replaced with Liliana Vess // Liliana Vess
85669 Seeds of Renewal; replaced with Seeds of Renewal
31185 Outcaster Trailblazer; replaced with Outcaster Trailblazer
59968 Hordewing Skaab; replaced with Hordewing Skaab
72261 Saruman of Many Colors; replaced with Saruman of Many Colors
55575 Virtue of Knowledge // Vantress Visions; replaced with Virtue of Knowledge // Vantress Visions
71079 True-Faith Censer; replaced with True-Faith Censer
42062 Sorin, Lord of Innistrad; replaced with Sorin, Lord of Innistrad
31414 Primal Rage; replaced with Primal Rage
11757 Romantic Rendezvous; replaced with Romantic Rendezvous
*****
Tuinvale Treefolk // Oaken Boon
Emissary Escort
Stalking Vengeance
Clattering Skeletons
Spire Winder
Idol of the Deep King // Sovereign's Macuahuitl
Gallant Citizen
Flayer of Loyalties
Field of Dreams
Rodolf Duskbringer
Thopter Squadron
Gandalf, White Rider
Shauku, Endbringer
Tahngarth's Rage
Charging Griffin
Survivors' Bond
Relief Captain
Balamb Garden, SeeD Academy // Balamb Garden, Airborne
Blessed Reversal
Tireless Hauler // Dire-Strain Brawler
Covert Technician
Component Pouch
Sunset Strikemaster
Rabid Wolverines
Crew Captain
Broken Ambitions
Desperate Bloodseeker
Jolene, Plundering Pugilist
Zulaport Enforcer
Obscuring Aether
Mardu Hordechief
Chrome Courier
Gift of Immortality
Glory
Koma's Faithful
Fade from History
Furyblade Vampire
Haunting Imitation
Dakmor Sorceress
Grazing Gladehart
Prakhata Club Security
Distorting Wake
Icatian Lieutenant
Vegetation Abomination
Triskelavus
Sentinel Sliver
Blinding Fog
Chilling Shade
Well of Ideas
Spire Monitor
Smoke Bomb
Besotted Knight // Betroth the Beast
Cabal Conditioning
Lightning Shrieker
Armored Skyhunter
Secret Arcade // Dusty Parlor
Spitfire Handler
Lin Sivvi, Defiant Hero
Kaito, Dancing Shadow
Weathered Wayfarer
Prismabasher
Glacial Crasher
Tenacious Hunter
Sram, Senior Edificer
Shizuko, Caller of Autumn
Hundred-Talon Strike
Catapult Fodder // Catapult Captain
Untamed Hunger
Brawl-Bash Ogre
Vigilant Baloth
Flowstone Surge
Ritual of Rejuvenation
Lotus Field
Perish
Spellweaver Duo
Tarpan
Youthful Scholar
Find the Path
Glimpse the Impossible
Break Through the Line
Aetherstorm Roc
Blooming Marsh
Scrapdiver Serpent
It That Betrays
Shepherd of Rot
Crossway Troublemakers
Liege of the Pit
Earth-Cult Elemental
Jan Jansen, Chaos Crafter
Merchant of Secrets
Earthen Goo
Nowhere to Run
Reveillark
Faerie Dreamthief
Sunbird Standard // Sunbird Effigy
Crystalline Armor
Greatsword of Tyr
Evolution Charm
Vicious Hunger
Discordant Spirit
Archangel of Thune
Shard Volley
News Helicopter
Abolish
Ebony Charm
Sol Grail
Tsunami
Black Waltz No. 3
Lose Calm
Zur, Eternal Schemer
See Beyond
Scream Puff
Turf War
Hideous Taskmaster
Thunderous Wrath
Rats' Feast
Geothermal Kami
Arashin War Beast
Mossbeard Ancient
Groundskeeper
Rakdos Augermage
Indomitable Creativity
Bloodbond March
Urza, Chief Artificer
Deathmark Prelate
Anointed Peacekeeper
Fuss // Bother
Recall
Monstrosity of the Lake
Serra Paragon
Sparkmage Apprentice
Dual Strike
Sunspire Gatekeepers
Elemental Masterpiece
Ring of Ma'rûf
Benthic Giant
Stromgald Crusader
Netter en-Dal
Nessian Boar
Goblin Artillery
Loyal Retainers
Azorius Keyrune
Wedding Ring
Midnight Entourage
Telepathic Spies
Slaughter the Strong
Gravelighter
Codecracker Hound
Invasion of Alara // Awaken the Maelstrom
Fall of Cair Andros
Dino DNA
Xathrid Gorgon
Assert Authority
Dancer's Chakrams
Canopy Surge
Leap of Flame
Nightkin Ambusher
Venus, Torn Between Worlds
Blessed Breath
Badgermole Cub
Osteomancer Adept
Fear of Sleep Paralysis
Prickly Marmoset
Harvest Hand // Scrounged Scythe
Mogis's Warhound
Nibelheim Aflame
Elvish Fury
Garland, Knight of Cornelia // Chaos, the Endless
Tajuru Stalwart
Doomsday
Mirkwood Spider
Gyruda, Doom of Depths
Centaur Healer
Paragon of Modernity
Devkarin Dissident
Battalion Foot Soldier
Joraga Warcaller
Storm Fleet Arsonist
Scholar of Athreos
Muse Vessel
Heroic Intervention
Jadzi, Oracle of Arcavios // Journey to the Oracle
Silk Net
Dark Impostor
Sunblade Samurai
Gaea's Touch
Cloistered Youth // Unholy Fiend
Tibalt, the Fiend-Blooded
Triceraton Commander
Broodmate Dragon
Savior of the Small
Hymn of Rebirth
Scrap Welder
Snow Devil
Vashta Nerada
Solar Array
Brimstone Mage
Scroll of Griselbrand
Cybernetica Datasmith
Kamahl's Summons
Korlessa, Scale Singer
Mischievous Poltergeist
Hill Giant Herdgorger
Afterlife Insurance
Jetfire, Ingenious Scientist // Jetfire, Air Guardian
Infectious Bloodlust
Aggressive Instinct
Hancock, Ghoulish Mayor
Cackling Prowler
Wakedancer
Slayer's Plate
At Knifepoint
Overflowing Insight
Blaze
Skeletal Wurm
Heron of Hope
Nightshade Dryad
Cavalier of Night
Fyndhorn Pollen
Narrow-Minded Baloney Fireworks
Athreos, Shroud-Veiled
Haunted Hellride
Soratami Mirror-Guard
Southern Elephant
Wall Crawl
Graypelt Hunter
Mana Bloom
Order // Chaos
Kess, Dissident Mage
Jungleborn Pioneer
War Barge
Dragonfire Blade
Atraxa's Fall
Escape Tunnel
Disorder in the Court
Meditation Puzzle
Vivien, Monsters' Advocate
Swab Goblin
Erkenbrand, Lord of Westfold
Wandering Stream
Curse of Echoes
Undead Warchief
Smothering Abomination
Burst Lightning
Mutagen Connoisseur
Study Break
Peer Past the Veil
Risen Sanctuary
Cactusfolk Sureshot
Mire's Malice
Grassland Crusader
Spiritualize
Starlit Soothsayer
Vampiric Dragon
Whirlwind Denial
Wings of Hubris
Goblin Outlander
Emrakul's Messenger
Protection of the Hekma
Diligent Excavator
Chainbreaker
Skyward Eye Prophets
Slicer, Hired Muscle // Slicer, High-Speed Antagonist
Mirror Box
Ruin Rat
Ixalli's Lorekeeper
Elder Gargaroth
Asinine Antics
Recollect
Gargadon
View from Above
Mist-Syndicate Naga
Oath of the Grey Host
Pounce
Kheru Bloodsucker
Wandering Graybeard
Lord of the Void
Temporal Intervention
Malach of the Dawn
Phyrexian Swarmlord
Urborg
Stormwild Capridor
Heavy Infantry
Stain the Mind
Aspect of Hydra
Selvala, Explorer Returned
Lash of Thorns
Jungle Shrine
Rix Maadi Guildmage
Lagonna-Band Storyteller
Pol Jamaar, Illusionist
Animate Wall
Experiment One
Spectral Shield
Lich
Thief of Sanity
Pilgrim of the Ages
Savage Conception
Marneus Calgar
Liliana, Untouched by Death
Priest of Fell Rites
Coordinated Maneuver
Living Terrain
Turn into a Pumpkin
Jaspera Sentinel
Tuktuk the Explorer
Baleful Force
Squeaking Pie Sneak
Wallop
Champion of Rhonas
Korozda Guildmage
Heartstone
Gods' Hall Guardian
Show of Confidence
Fortunate Few
Come Back Wrong
Rith's Attendant
Leonardo, Sewer Samurai
Death's-Head Buzzard
Vile Aggregate
Relic Robber
Charnel Serenade
Aetheric Amplifier
Commander's Plate
Peregrine Mask
Solarion
Commune with Dinosaurs
Glistening Dawn
Silent Clearing
Trumpet Blast
Bronzehide Lion
White Auracite
Thoughtflare
Icewrought Sentry
Savaen Elves
Jaya's Immolating Inferno
Juxtapose
Knife
Hallowed Healer
Fiendish Duo
Reservoir Walker
Moonfolk Puzzlemaker
Chandra, Novice Pyromancer
Overload
Solemn Recruit
Duneblast
Waylaying Pirates
Ondu Spiritdancer
Savage Beating
Skullcrack
Tramway Station
Ainok Guide
Neverwinter Hydra
Wasp Lancer
Relive the Past
Goliath Beetle
Mutilate
Plasma Elemental
Legion Loyalist
Transmogrant's Crown
Balduvian Bears
Dwarven Demolition Team
Double Trouble
Auditore Ambush
Hystrodon
Ancestral Mask
Ocelot Pride
Assemble the Players
Ghost Ark
Raise the Past
Tangle Mantis
Invasion of Eldraine // Prickle Faeries
Saryth, the Viper's Fang
Ancient Greenwarden
Nomad Outpost
Gorion, Wise Mentor
Infested Thrinax
Minotaur Tactician
Scatter Arc
Kellan, Daring Traveler // Journey On
Celestial Colonnade
Life // Death
Mask of Law and Grace
Nettle Guard
Water Tribe Rallier
Malevolent Chandelier
Watchwing Scarecrow
Loxodon Surveyor
Transcendent Master
Magmatic Hellkite
Cavernous Maw
Monastery Loremaster
Repurposing Bay
Mesmeric Fiend
Djinn Illuminatus
Gruesome Realization
Nath's Buffoon
Pendelhaven
Neurok Stealthsuit
Trove Warden
Misthoof Kirin
Blind Hunter
The Art of Tea
Hero of the Winds
Zhur-Taa Goblin
Mutagenic Growth
Baneslayer Angel
Eyeblight's Ending
Consecrate Land
Pillar of Flame
Kami of the Crescent Moon
Beanstalk Wurm // Plant Beans
Ampryn Tactician
Naga Eternal
Woebringer Demon
Lullmage's Domination
Counterintelligence
Sunder
Curse of the Bloody Tome
Memories Returning
Sylvan Messenger
Charmed Griffin
Case of the Crimson Pulse
Arcane Subtraction
Steppe Glider
Veteran Cathar
Mesmerizing Dose
Mina and Denn, Wildborn
Orthodoxy Enforcer
Goblin Cavaliers
Dreg Reaver
Fowl Strike
Ripples of Potential
Fervor
Riku of Two Reflections
Rush of Dread
Feral Ghoul
Voice of the Blessed
Grow from the Ashes
Rabid Bloodsucker
Cruel Feeding
Student of Elements // Tobita, Master of Winds
Centaur Peacemaker
Twinshot Sniper
Exotic Disease
Malakir Familiar
Thunderscape Apprentice
Thallid Omnivore
Minor Misstep
Billowing Shriekmass
Graven Lore
Fang Dragon // Forktail Sweep
Cabal Executioner
Slurrk, All-Ingesting
Rending Vines
Flaming Gambit
Cyclonic Rift
Acquisitions Expert
Bioplasm
Hallowed Moonlight
Miscalculation
Dreadwaters
Dread Slaver
Sorin, Vengeful Bloodlord
Buster Sword
Curious Altisaur
Alluring Siren
Thunderkin Awakener
Metalwork Colossus
Nirkana Revenant
Nomads en-Kor
Riptide Laboratory
Astrid Peth
Heartwood Dryad
Magus of the Candelabra
Swarmyard
Earthshaking Si
Gravespawn Sovereign
Tyrranax Rex
Cephalid Constable
Terrain Generator
Worldly Tutor
Faramir, Prince of Ithilien
Unwinding Clock
Gilded Goose
Farrel's Zealot
Shared Roots
Sun-Crested Pterodon
Warm Welcome
Donna Noble
Zuko's Conviction
Tightening Coils
Flesh Allergy
Plague Dogs
Horned Cheetah
Spined Karok
Oketra's Last Mercy
Teferi's Isle
Mona Lisa, Ever Adaptable
Scurrilous Sentry
The Haunt of Hightower
Kjeldoran Guard
Forgehammer Centurion
Arcbound Fiend
Swift Kick
Galloping Lizrog
Enemy of the Guildpact
Akroma's Devoted
Aerathi Berserker
Oath of Liliana
Fire-Omen Crane
Weirding Shaman
Cloak and Dagger
Riot Control
Greenside Watcher
Astrolabe
Spite // Malice
Mana-Charged Dragon
Fabrication Module
Shining Armor
Reveka, Wizard Savant
Granite Shard
Brigid, Hero of Kinsbaile
Map the Frontier
Crux of Fate
Mindspring Merfolk
Skyclave Geopede
Warden of the Inner Sky
Mirror Gallery
Surtland Flinger
Fodder Tosser
Temporal Adept
Sun Warriors
Dragonscale Boon
Tangled Skyline
Heavenly Blademaster
Calamity's Wake
Duskfang Mentor
Invigorating Falls
Hamlet Vanguard
Trestle Troll
Teferi's Drake
Creakwood Ghoul
Goblin Marshal
Kazandu Mammoth // Kazandu Valley
Tobias Andrion
Yuna, Grand Summoner
Fault Riders
Hands of Binding
Ana Battlemage
Glowering Rogon
Mesmeric Orb
Tablet of Compleation
Price of Loyalty
Nightshade Schemers
Bounty Board
Court Cleric
Aang, at the Crossroads // Aang, Destined Savior
Soul Read
Facevaulter
Dorothea, Vengeful Victim // Dorothea's Retribution
Cecil, Dark Knight // Cecil, Redeemed Paladin
Bloodied Ghost
Kellan, the Kid
Alchemist's Retrieval
Angel of Sanctions
Flamekin Spitfire
Great Forest Druid
Candlekeep Sage
Undercity Sewers
Ancient Stone Idol
Rampant Frogantua
Indentured Oaf
Hunters' Feast
Fireflux Squad
Munda, Ambush Leader
Culling Dais
Kodama of the East Tree
Cactus Preserve
Greater Forgeling
Silent Assassin
Lethal Vapors
Lightning Stormkin
Storybook Ride
Spontaneous Artist
Sauron, the Dark Lord
Venerable Monk
Tributary Instructor
Coral Net
Cultivate
Graveborn Muse
Storm Fleet Sprinter
Excise
Frostwind Invoker
Emeria Captain
Mordor Muster
Goldhound
Hulking Bugbear
Johann's Stopgap
Dungeon Delver
Sentinel of the Nameless City
Foreboding Statue // Forsaken Thresher
Nuka-Cola Vending Machine
Cybermat
Molten Frame
Argent Sphinx
Hydromorph Guardian
Teachings of the Kirin // Kirin-Touched Orochi
Keeper of the Flame
Rain of Riches
Alchemist's Vial
Avatar Aang // Aang, Master of Elements
Ephara's Radiance
Tin Street Market
Sword Dancer
Mardu Monument
Hellkite Igniter
Atreus, Impulsive Son
Reprobation
Bark-Knuckle Boxer
Invasion of New Capenna // Holy Frazzle-Cannon
Revenge of the Hunted
True-Faith Censer
Clot Sliver
Cephalid Pathmage
Tarrian's Soulcleaver
In Too Deep
Tidal Force
Shade's Breath
Elvish Guidance
Steamcore Weird
Entrapment Maneuver
Phyrexian Espionage
Consuming Corruption
Loxodon Anchorite
Eldrazi Monument
Syndicate Heavy
Talisman of Creativity
Shredder's Revenge
Eon Hub
Alaborn Trooper
Go-Shintai of Lost Wisdom
Binding Grasp
Seedcradle Witch
Winternight Stories
Dakkon, Shadow Slayer
Tithe Drinker
Spoils of Victory
Up the Beanstalk
Honden of Infinite Rage
Dosan's Oldest Chant
Glint-Eye Nephilim
Inheritance
Dictate of the Twin Gods
Aethergeode Miner
Flood of Recollection
Tamiyo's Immobilizer
Ob Nixilis, the Adversary
Doomskar Titan
Magmasaur
Catapult Fodder // Catapult Captain
The Blackstaff of Waterdeep
Wild Evocation
Gluttonous Cyclops
Broodhunter Wurm
Haunter of Nightveil
Odric, Lunarch Marshal
Revitalizing Repast // Old-Growth Grove
Urabrask the Hidden
Quandrix Pledgemage
Ketramose, the New Dawn
Nessian Courser
Constrictor Sage
Krasis Incubation
Sporecap Spider
Hero's Demise
Racers' Scoreboard
Hand of the Praetors
Brimstone Vandal
Hurler Cyclops
Daemogoth Woe-Eater
Corpse Appraiser
Seedship Impact
Ajani's Last Stand
Tunneler Wurm
Smirking Spelljacker
Ghost-Lit Raider
Isolation Cell
Smuggler's Buggy
Invasion of Kylem // Valor's Reach Tag Team
Explorer's Scope
Bloody Betrayal
Adventurers' Guildhouse
Tana, the Bloodsower
Apex of Power
Vega, the Watcher
Dryad's Revival
Goblin Game
Phyrexian Altar
Consumptive Goo
Back for More
Armageddon
Azra Oddsmaker
Vessel of Ephemera
Aboshan's Desire
Starnheim Memento
Explosive Vegetation
Tidings
Zanarkand, Ancient Metropolis // Lasting Fayth
Breathstealer
Jasmine Boreal
Misstep
Bottled Cloister
Dead Revels
Rage Forger
Karplusan Yeti
Delney, Streetwise Lookout
Triplicate Spirits
Treefolk Harbinger
Dungeon Shade
Arms Race
Sword of Once and Future
The Sound of Drums
Tovolar's Huntmaster // Tovolar's Packleader
Phyrexian Reclamation
Swinging Ship
Robobrain War Mind
Sage of Epityr
Repentant Blacksmith
Sea Troll
Helm of Chatzuk
Frodo, Adventurous Hobbit
Deicide
Sky Crier
Giant Ambush Beetle
Caustic Exhale
Feather, Radiant Arbiter
Run Aground
Sky Tether
Liliana's Steward
Adarkar Windform
Overrule
Undercellar Sweep
Phyrexian Gargantua
Venomous Brutalizer
Tempting Wurm
Inner-Flame Acolyte
Wormfang Behemoth
Delirium
Drach'Nyen
Profane Prayers
Titan's Revenge
Invasion of Zendikar // Awakened Skyclave
Ambitious Assault
Ezekiel Sims, Spider-Totem
Fae Flight
Spark Reaper
Opaline Bracers
Barl's Cage
Elfhame Wurm
Kronch Wrangler
Kickoff Celebrations
Dreadhorde Twins
Yarok's Wavecrasher
Revivify
Strago and Relm
Raucous Carnival
Inspiring Cleric
Queen's Bay Soldier
Doubling Season
Jenson Carthalion, Druid Exile
Crisis of Conscience
The Biblioplex
Slinking Giant
Ecologist's Terrarium
Baloth Pup
Thran Temporal Gateway
Gallant Strike
Shatter Assumptions
Kitesail
Smoldering Egg // Ashmouth Dragon
Crimson Wisps
Retrieve the Esper
Brenard, Ginger Sculptor
Lurking Deadeye
Serum Snare
Ydwen Efreet
Dromoka Captain
Tales of the Ancestors
Hero's Downfall
Wayspeaker Bodyguard
Belltoll Dragon
Exalted Sunborn
Zagoth Triome
Geode Rager
Ruinous Waterbending
Sylvan Brushstrider
Vrondiss, Rage of Ancients
Death Begets Life
Worms of the Earth
Crackling Perimeter
Toothy, Imaginary Friend
Into the Flood Maw
Thornweald Archer
Encroaching Dragonstorm
Ostrich-Horse
Crop Sigil
Earth Elemental
Alabaster Kirin
Life // Death
Elementalist's Palette
Rubblebelt Recluse
Gorgon Recluse
Blind with Anger
Defiant Ogre
Sanctify
Blitzball
Fleeting Image
Hitchclaw Recluse
Propeller Pioneer
Diplomatic Escort
Sky Swallower
Moonglove Extract
Order of the Golden Cricket
Lithophage
Zealot's Conviction
Imaginary Pet
Avacyn's Collar
Accursed Witch // Infectious Curse
Ruination Wurm
Mayor of Avabruck // Howlpack Alpha
Subira, Tulzidi Caravanner
Thran Power Suit
Shiko, Paragon of the Way
Artful Takedown
Whipgrass Entangler
Akoum Flameseeker
Coronation of Chaos
Loporrit Scout
Sword-Point Diplomacy
Ichor Rats
Glen Elendra's Answer
Archfiend of Despair
Sphere of Law
Virtus's Maneuver
Synod Sanctum
Flopsie, Bumi's Buddy
Forger's Foundry
Dimir Guildgate
On Serra's Wings
Elder Mastery
Darkwater Catacombs
Druidic Satchel
Pianna, Nomad Captain
Havi, the All-Father
Lunge
Estinien Varlineau
Summoner's Pact
Shimatsu the Bloodcloaked
Monoist Sentry
Wyll, Blade of Frontiers
Gustcloak Cavalier
Oakhame Ranger // Bring Back
Vorinclex, Voice of Hunger
Woodland Stream
Skyshroud Archer
Courser of Kruphix
Ruthless Instincts
Natural Connection
Phyrexian Missionary
Tooth of Ramos
Redwood Treefolk
Ruthless Winnower
Stingscourger
Psychic Miasma
Contaminated Ground
Purple Pentapus
Twinflame Tyrant
Blitzwing, Cruel Tormentor // Blitzwing, Adaptive Assailant
Foul Imp
Mannichi, the Fevered Dream
Dire Fleet Hoarder
Brinelin, the Moon Kraken
Soulmender
Purphoros, God of the Forge
Alquist Proft, Master Sleuth
Slimy Piper
Orim's Thunder
Ultimate Magic: Holy
Proud Pack-Rhino
Trickster Mage
Iridescent Hornbeetle
Survival of the Fittest
Termagant Swarm
Smallpox
Lorehold Excavation
Swallow Whole
Wings of Hope
Boulderbranch Golem
Ingenuity Engine
Reckless Ransacking
Piru, the Volatile
Talon Trooper
Energybending
Self-Reflection
Domri, City Smasher
Titan's Strength
Rhizome Lurcher
Midnight Crusader Shuttle
Dwarven Strike Force
Ring of Kalonia
Loxodon Peacekeeper
Sanctum Spirit
Azula, Ruthless Firebender
Master Symmetrist
Acridian
Scurrid Colony
Balustrade Wurm
Writ of Return
Urza's Workshop
Eddymurk Crab
Excommunicate
Depose // Deploy
Urborg Repossession
Caterwauling Boggart
Mind Maggots
Unagi's Spray
Azorius Guildgate
Seven Dwarves
Opal Champion
Elderleaf Mentor
Pyreheart Wolf
Hungry Ridgewolf
Hellion Crucible
Twisted Embrace
Whipstitched Zombie
Territorial Maro
Barbarian Bully
Rampaging Cyclops
Pendelhaven Elder
Repentance
Magitek Scythe
Disciple of the Vault
Blacklance Paragon
Redeem
Soldier of the Pantheon
Tuinvale Guide
Beaming Defiance
Ruin Grinder
Avatar Enthusiasts
Oliphaunt
Gorehorn Minotaurs
Tishana's Wayfinder
Archaeomancer's Map
Oviya Pashiri, Sage Lifecrafter
Risky Research
Magic Missile
Prophetic Ravings
Strangle
Absolute Law
Curious Inquiry
Fractured Identity
Goblin Glory Chaser
Denry Klin, Editor in Chief
Decision Paralysis
Voltaic Servant
Blazing Blade Askari
Oath of Lieges
Prophetic Prism
Neerdiv, Devious Diver
Stonerise Spirit
Eldrazi Guacamole Tightrope
Magnetic Mine
Rejuvenation Chamber
Killer Bees
Hexavus
Annex Sentry
Eldrazi Conscription
Shield of the Oversoul
General Kreat, the Boltbringer
Malakir Bloodwitch
Tezzeret's Gatebreaker
Sliver Queen
Aqueous Form
Dross Hopper
Necra Disciple
Chisei, Heart of Oceans
Ghostly Visit
Scrapheap
Famished Ghoul
Primal Visitation
Lava Tubes
Gatta and Luzzu
Dimir Keyrune
Okiba Salvage
Ogre Sentry
Season of the Burrow
Echo of Eons
Merfolk Trickster
Inquisitor Eisenhorn
Ob Nixilis, Unshackled
Looming Altisaur
Death Stroke
Viral Drake
Death-Rattle Oni
Harald Unites the Elves
Dirge of Dread
Second Thoughts
Iridescent Blademaster
Adipose Offspring
Coffin Purge
Apprentice Wizard
Clay-Fired Bricks // Cosmium Kiln
Butch DeLoria, Tunnel Snake
Timely Interference
Krovikan Sorcerer
Pulse of the Tangle
Sandstorm Charger
Forsaken Wastes
Bloodcrusher of Khorne
Sauron, the Lidless Eye
Screams of the Damned
Nim Shambler
Twist Reality
Graaz, Unstoppable Juggernaut
Primal Forcemage
Colossal Majesty
Shield Dancer
Mirrormade
Neyith of the Dire Hunt
Yuki-Onna
Sprout Swarm
Evangel of Heliod
Nightguard Patrol
Nevinyrral, Urborg Tyrant
Esper Stormblade
Mysidian Elder
Count on Luck
Mire Boa
